timestamp,move1,move2,winner
Ctest tutorial
2024-02-03T14:38:03.188Z,paper,paper,Draw
C9 - not blind
2024-02-03T14:38:48.684Z,rock,paper,p2
2024-02-03T14:39:06.897Z,rock,scissors,p1
2024-02-03T14:39:22.090Z,scissors,rock,p2
2024-02-03T14:39:50.000Z,paper,paper,Draw
2024-02-03T14:40:10.864Z,paper,rock,p1
2024-02-03T14:40:30.906Z,rock,scissors,p1
2024-02-03T14:40:46.285Z,paper,paper,Draw
2024-02-03T14:41:03.643Z,scissors,scissors,Draw
2024-02-03T14:41:20.236Z,paper,rock,p1
2024-02-03T14:41:35.088Z,scissors,paper,p1
C9 - blind
2024-02-03T14:42:45.491Z,paper,rock,p1
2024-02-03T14:43:06.067Z,scissors,scissors,Draw
2024-02-03T14:43:22.792Z,paper,paper,Draw
2024-02-03T14:43:43.205Z,scissors,rock,p2
2024-02-03T14:43:58.086Z,paper,scissors,p2
2024-02-03T14:44:13.180Z,scissors,scissors,Draw
2024-02-03T14:44:32.412Z,paper,paper,Draw
2024-02-03T14:44:51.023Z,paper,rock,p1
2024-02-03T14:45:11.649Z,rock,paper,p2
2024-02-03T14:45:31.135Z,scissors,rock,p2
C10 - tutorial
2024-02-03T14:55:37.018Z,rock,rock,Draw
2024-02-03T14:56:14.512Z,rock,scissors,p1
2024-02-03T14:56:33.233Z,scissors,rock,p2
2024-02-03T14:56:55.587Z,paper,paper,Draw
C10 - blind
2024-02-03T14:57:48.037Z,scissors,rock,p2
2024-02-03T14:58:06.956Z,rock,scissors,p1
2024-02-03T14:58:22.917Z,paper,paper,Draw
2024-02-03T14:58:41.791Z,scissors,rock,p2
2024-02-03T14:58:57.222Z,rock,paper,p2
2024-02-03T14:59:39.366Z,scissors,scissors,Draw
2024-02-03T14:59:56.730Z,paper,paper,Draw
2024-02-03T15:00:14.416Z,paper,scissors,p2
2024-02-03T15:00:30.920Z,scissors,rock,p2
2024-02-03T15:00:46.382Z,rock,scissors,p1
2024-02-03T15:01:00.668Z,scissors,paper,p1
C10 - not blind
2024-02-03T15:01:34.391Z,scissors,scissors,Draw
2024-02-03T15:02:05.782Z,scissors,rock,p2
2024-02-03T15:02:20.296Z,paper,scissors,p2
2024-02-03T15:02:35.069Z,rock,paper,p2
2024-02-03T15:03:06.751Z,paper,rock,p1
2024-02-03T15:03:21.721Z,scissors,scissors,Draw
2024-02-03T15:03:38.942Z,paper,paper,Draw
2024-02-03T15:03:56.026Z,scissors,rock,p2
2024-02-03T15:04:14.738Z,paper,scissors,p2
2024-02-03T15:04:28.968Z,scissors,rock,p2
2024-02-03T15:04:46.143Z,paper,paper,Draw
C11 - tutorial
2024-02-03T15:12:19.746Z,rock,scissors,p1
2024-02-03T15:12:37.443Z,scissors,rock,p2
2024-02-03T15:12:55.888Z,paper,paper,Draw
C11 - not blind
2024-02-03T15:13:26.268Z,scissors,scissors,Draw
2024-02-03T15:13:43.694Z,paper,rock,p1
2024-02-03T15:14:04.707Z,rock,rock,Draw
2024-02-03T15:14:28.698Z,scissors,rock,p2
2024-02-03T15:14:45.665Z,paper,scissors,p2
2024-02-03T15:15:00.012Z,rock,rock,Draw
2024-02-03T15:15:16.747Z,paper,paper,Draw
2024-02-03T15:15:34.837Z,scissors,rock,p2
2024-02-03T15:15:49.708Z,rock,scissors,p1
2024-02-03T15:16:04.628Z,paper,invalid,Invalid move
2024-02-03T15:16:21.765Z,scissors,scissors,Draw
2024-02-03T15:16:38.849Z,rock,rock,Draw
C11 - blind
2024-02-03T15:17:28.138Z,paper,scissors,p2
2024-02-03T15:17:44.955Z,rock,rock,Draw
2024-02-03T15:18:02.348Z,scissors,scissors,Draw
2024-02-03T15:18:20.453Z,scissors,paper,p1
2024-02-03T15:18:35.952Z,rock,paper,p2
2024-02-03T15:19:02.614Z,scissors,scissors,Draw
2024-02-03T15:19:19.216Z,rock,rock,Draw
2024-02-03T15:19:36.264Z,scissors,paper,p1
2024-02-03T15:19:52.668Z,paper,scissors,p2
2024-02-03T15:20:08.841Z,paper,paper,Draw
2024-02-03T15:20:25.371Z,scissors,rock,p2
2024-02-03T15:20:41.350Z,rock,scissors,p1
C12 - tutorial
2024-02-03T15:39:18.979Z,rock,invalid,Invalid move
2024-02-03T15:39:46.023Z,rock,scissors,p1
2024-02-03T15:40:17.978Z,invalid,scissors,Invalid move
2024-02-03T15:40:53.040Z,rock,scissors,p1
2024-02-03T15:41:14.742Z,scissors,invalid,Invalid move
2024-02-03T15:41:42.039Z,paper,paper,Draw
C12 - blind
2024-02-03T15:42:56.969Z,rock,scissors,p1
